web-scraper-order,web-scraper-start-url,liens,liens-href,marque_model,annee,kilometrage,boite de vitesse,carburant,prix,reference,adresse de vente,proprietaire
"1720699054-197","https://dakar-auto.com/senegal/voitures-4?&page=91","8","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/peugeot/308/annonce-136717","Peugeot 308 2014 Dakar","Année: 2014","195000 km","Automatique","Essence","5 500 000 F CFA","Ref.: 136717","Mermoz Sacré-Coeur","CB Touba AUTOMOBILE"
"1720699057-198","https://dakar-auto.com/senegal/voitures-4?&page=91","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/nissan/pathfinder/annonce-136716","Nissan Pathfinder 2014 Dakar","Année: 2014","60000 km","Automatique","Essence","12 500 000 F CFA","Ref.: 136716","VDN","CB Touba AUTOMOBILE"
"1720699060-199","https://dakar-auto.com/senegal/voitures-4?&page=91","5","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/hyundai/sonata/annonce-136715","Hyundai Sonata 2014 Dakar","Année: 2014","171000 km","Automatique","Essence","5 350 000 F CFA","Ref.: 136715","Mermoz Sacré-Coeur","CANADA AUTO PIÈCES"
"1720699063-200","https://dakar-auto.com/senegal/voitures-4?&page=91","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/chevrolet/equinox/annonce-136713","Chevrolet Equinox 2014 Dakar","Année: 2014","86000 km","Automatique","Essence","6 700 000 F CFA","Ref.: 136713","Liberté 6","Dream car Senegal"
"1720699068-201","https://dakar-auto.com/senegal/voitures-4?&page=90","8","https://dakar-auto.com/senegal/voitures/neuf/4x4s-and-suv/mercedes/c300/annonce-136712","Mercedes c300 2016 Dakar","Automatique","Année: 2016","Essence","","14 000 000 F CFA","Ref.: 136712","Mermoz Sacré-Coeur","Modou Ba"
"1720699071-202","https://dakar-auto.com/senegal/voitures-4?&page=90","7","https://dakar-auto.com/senegal/voitures/neuf/4x4s-and-suv/mitsubishi/l200/annonce-136711","Mitsubishi L200 2015 Dakar","Automatique","Année: 2015","Diesel","","13 500 000 F CFA","Ref.: 136711","Mermoz Sacré-Coeur","Modou Ba"
"1720699074-203","https://dakar-auto.com/senegal/voitures-4?&page=90","8","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/volkswagen/jetta/annonce-136710","Volkswagen Jetta 2013 Dakar","Année: 2013","145000 km","Automatique","Essence","4 900 000 F CFA","Ref.: 136710","Sicap Liberté","COMERSEN"
"1720699077-204","https://dakar-auto.com/senegal/voitures-4?&page=90","9","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/chevrolet/equinox/annonce-136707","Chevrolet Equinox 2014 Dakar","Année: 2014","90000 km","Automatique","Essence","5 900 000 F CFA","Ref.: 136707","Gueule-Tapée, Fass, Colobane","NIKE AUTOMOBILE"
"1720699080-205","https://dakar-auto.com/senegal/voitures-4?&page=90","7","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/bmw/x3/annonce-136705","Bmw X3 2013 Dakar","Année: 2013","130000 km","Automatique","Essence","8 500 000 F CFA","Ref.: 136705","Sicap Sacré Coeur","BARAKA AUTOMOBILE"
"1720699083-206","https://dakar-auto.com/senegal/voitures-4?&page=90","9","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/hyundai/elantra/annonce-136704","Hyundai Elantra 2013 Dakar","Année: 2013","120000 km","Automatique","Essence","4 300 000 F CFA","Ref.: 136704","Guédiawaye","Senegal TCS ventes et locations"
"1720699086-207","https://dakar-auto.com/senegal/voitures-4?&page=90","4","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/jeep/cherokee/annonce-136703","Jeep Cherokee 2014 Dakar","Année: 2014","75000 km","Automatique","Essence","6 900 000 F CFA","Ref.: 136703","Mamelles","Diop DIOP"
"1720699089-208","https://dakar-auto.com/senegal/voitures-4?&page=90","5","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/mitsubishi/pajero/annonce-136287","Mitsubishi Pajero 2007 Dakar","Année: 2007","100000 km","Automatique","Essence","3 500 000 F CFA","Ref.: 136287","Mermoz Sacré-Coeur","Modou Ba"
"1720699091-209","https://dakar-auto.com/senegal/voitures-4?&page=90","5","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/nissan/rogue/annonce-136743","Nissan ROGUE 2015 Dakar","Année: 2015","116314 km","Automatique","Essence","7 500 000 F CFA","Ref.: 136743","Plateau","peezy ."
"1720699094-210","https://dakar-auto.com/senegal/voitures-4?&page=90","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/edge/annonce-136741","Ford Edge 2015 Dakar","Année: 2015","34000 km","Automatique","Essence","11 000 000 F CFA","Ref.: 136741","Grand-Dakar","Atlantic auto"
"1720699097-211","https://dakar-auto.com/senegal/voitures-4?&page=90","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/edge/annonce-136740","Ford Edge 2016 Dakar","Année: 2016","55000 km","Automatique","Essence","10 750 000 F CFA","Ref.: 136740","Grand-Dakar","Atlantic auto"
"1720699100-212","https://dakar-auto.com/senegal/voitures-4?&page=90","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/escape-se/annonce-136738","Ford ESCAPE-SE 2013 Dakar","Année: 2013","84000 km","Automatique","Essence","5 800 000 F CFA","Ref.: 136738","Grand-Dakar","Atlantic auto"
"1720699103-213","https://dakar-auto.com/senegal/voitures-4?&page=90","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/escape-titanium/annonce-136737","Ford Escape-Titanium 2017 Dakar","Année: 2017","86000 km","Automatique","Essence","9 000 000 F CFA","Ref.: 136737","Almadies","Psk Automobil"
"1720699106-214","https://dakar-auto.com/senegal/voitures-4?&page=90","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/toyota/fortuner/annonce-136736","Toyota Fortuner 2021 Dakar","Année: 2021","7800 km","Automatique","Diesel","40 000 000 F CFA","Ref.: 136736","Mermoz Sacré-Coeur","Auto Business"
"1720699109-215","https://dakar-auto.com/senegal/voitures-4?&page=90","3","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/nissan/juke/annonce-136735","Nissan Juke 2014 Dakar","Année: 2014","100000 km","Automatique","Essence","5 000 000 F CFA","Ref.: 136735","Mermoz Sacré-Coeur","Auto Business"
"1720699112-216","https://dakar-auto.com/senegal/voitures-4?&page=90","3","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/kia/sorento/annonce-136734","Kia Sorento 2016 Dakar","Année: 2016","125000 km","Automatique","Essence","12 500 000 F CFA","Ref.: 136734","Mermoz Sacré-Coeur","SENAUPRIX"
"1720699115-217","https://dakar-auto.com/senegal/voitures-4?&page=90","5","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/mitsubishi/pajero/annonce-136732","Mitsubishi Pajero 2014 Dakar","Année: 2014","90000 km","Automatique","Diesel","13 000 000 F CFA","Ref.: 136732","Mermoz Sacré-Coeur","Auto Business"
"1720699118-218","https://dakar-auto.com/senegal/voitures-4?&page=90","5","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/kia/sportage/annonce-136733","Kia Sportage 2013 Dakar","Année: 2013","95000 km","Automatique","Essence","6 500 000 F CFA","Ref.: 136733","Mermoz Sacré-Coeur","Auto Business"
"1720699121-219","https://dakar-auto.com/senegal/voitures-4?&page=90","4","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/chevrolet/cruze/annonce-136728","Chevrolet Cruze 2012 Dakar","Année: 2012","110000 km","Automatique","Essence","3 100 000 F CFA","Ref.: 136728","Mermoz Sacré-Coeur","Yoursan .."
"1720699123-220","https://dakar-auto.com/senegal/voitures-4?&page=90","4","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/chevrolet/aveo/annonce-136727","Chevrolet Aveo 2011 Dakar","Année: 2011","132437 km","Automatique","Essence","3 200 000 F CFA","Ref.: 136727","Grand-Dakar","Birame"
"1720699129-221","https://dakar-auto.com/senegal/voitures-4?&page=89","1","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/kia/sportage/annonce-136725","Kia Sportage 2019 Dakar","Année: 2019","40000 km","Automatique","Essence","14 500 000 F CFA","Ref.: 136725","Almadies","AUTORENT OCCASION"
"1720699132-222","https://dakar-auto.com/senegal/voitures-4?&page=89","3","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/kia/sorento/annonce-136726","Kia Sorento 2016 Dakar","Année: 2016","125000 km","Automatique","Essence","12 500 000 F CFA","Ref.: 136726","Mermoz Sacré-Coeur","SENAUPRIX"
"1720699135-223","https://dakar-auto.com/senegal/voitures-4?&page=89","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/kia/sportage/annonce-136708","Kia Sportage 2013 Dakar","Année: 2013","84600 km","Automatique","Essence","6 200 000 F CFA","Ref.: 136708","Fass","NIKE AUTOMOBILE"
"1720699138-224","https://dakar-auto.com/senegal/voitures-4?&page=89","3","https://dakar-auto.com/senegal/voitures/occasion/citadines/citroen/c4/annonce-136748","Citroen C4 2010 Dakar","Année: 2010","165557 km","Manuelle","Diesel","3 000 000 F CFA","Ref.: 136748","Hlm","Abdoulaye N'diaye"
"1720699141-225","https://dakar-auto.com/senegal/voitures-4?&page=89","7","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/edge/annonce-136759","Ford Edge 2015 Dakar","Année: 2015","48000 km","Automatique","Essence","12 700 000 F CFA","Ref.: 136759","Mermoz Sacré-Coeur","WBC Electronics"
"1720699144-226","https://dakar-auto.com/senegal/voitures-4?&page=89","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/mitsubishi/outlander-sport/annonce-136758","Mitsubishi Outlander-Sport 2015 Dakar","Année: 2015","94000 km","Automatique","Essence","8 000 000 F CFA","Ref.: 136758","Mermoz Sacré-Coeur","WBC Electronics"
"1720699147-227","https://dakar-auto.com/senegal/voitures-4?&page=89","7","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/nissan/rogue/annonce-136757","Nissan ROGUE 2016 Dakar","Année: 2016","80000 km","Automatique","Essence","9 900 000 F CFA","Ref.: 136757","Mermoz Sacré-Coeur","WBC Electronics"
"1720699149-228","https://dakar-auto.com/senegal/voitures-4?&page=89","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/toyota/highlander/annonce-136754","Toyota Highlander 2015 Dakar","Année: 2015","1 km","Automatique","Essence","17 500 000 F CFA","Ref.: 136754","Liberté 6","YOU CARS"
"1720699152-229","https://dakar-auto.com/senegal/voitures-4?&page=89","4","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/mitsubishi/pajero-sport/annonce-136755","Mitsubishi pajero-sport 2019 Dakar","Année: 2019","70000 km","Automatique","Essence","19 000 000 F CFA","Ref.: 136755","Mermoz Sacré-Coeur","Auto Business"
"1720699155-230","https://dakar-auto.com/senegal/voitures-4?&page=89","4","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/kia/sportage/annonce-136756","Kia Sportage 2014 Dakar","Année: 2014","73000 km","Automatique","Essence","7 500 000 F CFA","Ref.: 136756","Mermoz Sacré-Coeur","Auto Business"
"1720699158-231","https://dakar-auto.com/senegal/voitures-4?&page=89","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/toyota/rav-4/annonce-136753","Toyota Rav 4 2013 Dakar","Année: 2013","200000 km","Automatique","Essence","7 200 000 F CFA","Ref.: 136753","Mermoz Sacré-Coeur","Mamadou GUEYE"
"1720699161-232","https://dakar-auto.com/senegal/voitures-4?&page=89","3","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/ranger/annonce-136752","Ford Ranger 2015 Dakar","Année: 2015","130000 km","Manuelle","Essence","12 500 000 F CFA","Ref.: 136752","Mermoz Sacré-Coeur","Moustapha DIOP"
"1720699164-233","https://dakar-auto.com/senegal/voitures-4?&page=89","8","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/hyundai/elantra/annonce-136751","Hyundai Elantra 2013 Dakar","Année: 2013","98000 km","Automatique","Essence","5 600 000 F CFA","Ref.: 136751","VDN","Mbampana business compagnie"
"1720699166-234","https://dakar-auto.com/senegal/voitures-4?&page=89","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/bmw/x5/annonce-136643","Bmw X5 2020 Dakar","Année: 2020","28000 km","Automatique","Essence","53 000 000 F CFA","Ref.: 136643","Liberté 6","YOU CARS"
"1720699169-235","https://dakar-auto.com/senegal/voitures-4?&page=89","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/mitsubishi/rvr/annonce-136750","Mitsubishi RVR 2014 Dakar","Année: 2014","100838 km","Automatique","Essence","8 300 000 F CFA","Ref.: 136750","Grand-Yoff","La RIDA Business automobile"
"1720699172-236","https://dakar-auto.com/senegal/voitures-4?&page=89","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/escape-se/annonce-136763","Ford ESCAPE-SE 2014 Dakar","Année: 2014","90000 km","Automatique","Essence","7 150 000 F CFA","Ref.: 136763","Mermoz Sacré-Coeur","DAROU MOUHTY AUTOMOBILLES"
"1720699175-237","https://dakar-auto.com/senegal/voitures-4?&page=89","4","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/kia/kia-k7/annonce-136762","Kia Kia-k7 2012 Dakar","Année: 2012","180000 km","Automatique","Essence","6 000 000 F CFA","Ref.: 136762","Mermoz Sacré-Coeur","CB Touba AUTOMOBILE"
"1720699178-238","https://dakar-auto.com/senegal/voitures-4?&page=89","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/bmw/x3/annonce-136761","Bmw X3 2015 Dakar","Année: 2015","93000 km","Automatique","Essence","13 950 000 F CFA","Ref.: 136761","VDN","Moussa ."
"1720699181-239","https://dakar-auto.com/senegal/voitures-4?&page=89","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/jeep/cherokee/annonce-136760","Jeep Cherokee 2014 Dakar","Année: 2014","95000 km","Automatique","Essence","8 500 000 F CFA","Ref.: 136760","VDN","Moussa ."
"1720699183-240","https://dakar-auto.com/senegal/voitures-4?&page=89","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/volkswagen/tiguan/annonce-136774","Volkswagen Tiguan 2013 Dakar","Année: 2013","110000 km","Automatique","Essence","3 500 000 F CFA","Ref.: 136774","VDN","Mbampana business compagnie"
"1720699189-241","https://dakar-auto.com/senegal/voitures-4?&page=88","3","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/suzuki/grand-vitara/annonce-136773","Suzuki Grand Vitara 2010 Dakar","Année: 2010","111000 km","Manuelle","Essence","4 100 000 F CFA","Ref.: 136773","Mermoz Sacré-Coeur","Yoursan .."
"1720699192-242","https://dakar-auto.com/senegal/voitures-4?&page=88","4","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/citroen/c4/annonce-136770","Citroen C4 2012 Dakar","Année: 2012","120000 km","Manuelle","Diesel","2 800 000 F CFA","Ref.: 136770","Mermoz Sacré-Coeur","salam ."
"1720699195-243","https://dakar-auto.com/senegal/voitures-4?&page=88","6","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/hyundai/sonata/annonce-136772","Hyundai Sonata 2012 Dakar","Année: 2012","160000 km","Automatique","Essence","3 750 000 F CFA","Ref.: 136772","Mermoz Sacré-Coeur","Babacar Thioune"
"1720699198-244","https://dakar-auto.com/senegal/voitures-4?&page=88","1","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/peugeot/2008/annonce-136771","Peugeot 2008 2014 Dakar","Année: 2014","45195 km","Manuelle","Essence","5 800 000 F CFA","Ref.: 136771","Golf","Laye Ndiaye"
"1720699201-245","https://dakar-auto.com/senegal/voitures-4?&page=88","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/jeep/grand-cherokee/annonce-136766","Jeep grand-cherokee 2014 Dakar","Année: 2014","76686 km","Automatique","Diesel","14 000 000 F CFA","Ref.: 136766","Liberté 6 extension","Abdou Fatah Niane"
"1720699204-246","https://dakar-auto.com/senegal/voitures-4?&page=88","7","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/focus/annonce-136769","Ford Focus 2009 Dakar","Année: 2009","100000 km","Manuelle","Diesel","2 800 000 F CFA","Ref.: 136769","Médina","Zale"
"1720699207-247","https://dakar-auto.com/senegal/voitures-4?&page=88","8","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/audi/a6/annonce-136781","Audi A6 2019 Dakar","Année: 2019","100000 km","Automatique","Essence","46 900 000 F CFA","Ref.: 136781","Liberté 6","YOU CARS"
"1720699210-248","https://dakar-auto.com/senegal/voitures-4?&page=88","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/toyota/highlander/annonce-136780","Toyota Highlander 2015 Dakar","Année: 2015","100000 km","Automatique","Essence","17 500 000 F CFA","Ref.: 136780","Liberté 6","YOU CARS"
"1720699214-249","https://dakar-auto.com/senegal/voitures-4?&page=88","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/kia/sportage/annonce-136778","Kia Sportage 2016 Dakar","Année: 2016","39000 km","Automatique","Essence","9 800 000 F CFA","Ref.: 136778","Sicap Liberté","Mr Mbacke"
"1720699217-250","https://dakar-auto.com/senegal/voitures-4?&page=88","8","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/ford/fusion/annonce-136777","Ford Fusion 2013 Dakar","Année: 2013","100000 km","Automatique","Diesel","3 500 000 F CFA","Ref.: 136777","Sicap Liberté","Mr Mbacke"
"1720699220-251","https://dakar-auto.com/senegal/voitures-4?&page=88","8","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/citroen/c-elysee/annonce-136776","Citroen C-elysee 2016 Dakar","Année: 2016","105000 km","Manuelle","Essence","4 600 000 F CFA","Ref.: 136776","Sicap Liberté","Mr Mbacke"
"1720699223-252","https://dakar-auto.com/senegal/voitures-4?&page=88","8","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/hyundai/elantra/annonce-136775","Hyundai Elantra 2013 Dakar","Année: 2013","100000 km","Automatique","Essence","4 800 000 F CFA","Ref.: 136775","Sicap Liberté","Mr Mbacke"
"1720699226-253","https://dakar-auto.com/senegal/voitures-4?&page=88","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/hyundai/tucson/annonce-136767","Hyundai Tucson 2018 Dakar","Année: 2018","80000 km","Automatique","Essence","13 500 000 F CFA","Ref.: 136767","Parcelles Assainies","Abdou Fatah Niane"
"1720699231-254","https://dakar-auto.com/senegal/voitures-4?&page=88","10","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/gmc/terrain/annonce-136787","GMC Terrain 2009 Dakar","Année: 2009","173000 km","Automatique","Essence","6 000 000 F CFA","Ref.: 136787","Plateau","Arona CISSE"
"1720699234-255","https://dakar-auto.com/senegal/voitures-4?&page=88","6","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/chevrolet/trax/annonce-136785","Chevrolet Trax 2013 Dakar","Année: 2013","130000 km","Automatique","Essence","5 000 000 F CFA","Ref.: 136785","Cambérène","Lune Ba"
"1720699239-256","https://dakar-auto.com/senegal/voitures-4?&page=88","7","https://dakar-auto.com/senegal/voitures/neuf/4x4s-and-suv/mitsubishi/nativa/annonce-136782","Mitsubishi Nativa 2009 Dakar","Année: 2009","120000 km","Manuelle","Diesel","4 500 000 F CFA","Ref.: 136782","Sicap Dieuppeul","Bathie Fall"
"1720699242-257","https://dakar-auto.com/senegal/voitures-4?&page=88","8","https://dakar-auto.com/senegal/voitures/occasion/coupes-and-cabriolets/toyota/auris/annonce-136783","Toyota Auris 2010 Dakar","Année: 2010","88000 km","Manuelle","Diesel","3 000 000 F CFA","Ref.: 136783","Sicap Dieuppeul","Bathie Fall"
"1720699245-258","https://dakar-auto.com/senegal/voitures-4?&page=88","3","https://dakar-auto.com/senegal/voitures/occasion/pick-ups/toyota/hilux/annonce-136569","Toyota Hilux 2014 Dakar","Année: 2014","100 km","Automatique","Diesel","10 000 000 F CFA","Ref.: 136569","Liberté 6","David Niang"
"1720699248-259","https://dakar-auto.com/senegal/voitures-4?&page=88","1","https://dakar-auto.com/senegal/voitures/occasion/citadines/peugeot/206-plus/annonce-136791","Peugeot 206-plus 2009 Dakar","Année: 2009","100000 km","Manuelle","Essence","2 500 000 F CFA","Ref.: 136791","Hann Bel-Air","Mame Diarra Fall"
"1720699251-260","https://dakar-auto.com/senegal/voitures-4?&page=88","3","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/land-rover/range-rover-evoque/annonce-136806","Land Rover range-rover-evoque 2020 Dakar","Année: 2020","90000 km","Automatique","Essence","12 500 000 F CFA","Ref.: 136806","Mermoz Sacré-Coeur","Auto Business"
"1720699257-261","https://dakar-auto.com/senegal/voitures-4?&page=87","5","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/kia/sportage/annonce-136805","Kia Sportage 2014 Dakar","Année: 2014","1 km","Automatique","Essence","7 000 000 F CFA","Ref.: 136805","Mermoz Sacré-Coeur","Auto Business"
"1720699260-262","https://dakar-auto.com/senegal/voitures-4?&page=87","3","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/escape-se/annonce-136804","Ford ESCAPE-SE 2013 Dakar","Année: 2013","90000 km","Automatique","Essence","3 900 000 F CFA","Ref.: 136804","Sicap Sacré Coeur","Auto Business"
"1720699263-263","https://dakar-auto.com/senegal/voitures-4?&page=87","8","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/bmw/serie-3/annonce-136803","Bmw Serie 3 2014 Dakar","Année: 2014","114000 km","Automatique","Essence","8 500 000 F CFA","Ref.: 136803","Liberté 6","Fadall MbackÃ©"
"1720699266-264","https://dakar-auto.com/senegal/voitures-4?&page=87","6","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/hyundai/sonata/annonce-136800","Hyundai Sonata 2012 Dakar","Année: 2012","160000 km","Automatique","Essence","3 600 000 F CFA","Ref.: 136800","Mermoz Sacré-Coeur","Babacar Thioune"
"1720699269-265","https://dakar-auto.com/senegal/voitures-4?&page=87","6","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/kia/sportage/annonce-136801","Kia Sportage 2012 Dakar","Année: 2012","110000 km","Automatique","Essence","5 400 000 F CFA","Ref.: 136801","Mermoz Sacré-Coeur","Babacar Thioune"
"1720699272-266","https://dakar-auto.com/senegal/voitures-4?&page=87","6","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/infiniti/qx/annonce-136802","Infiniti QX 2010 Dakar","Année: 2010","140000 km","Automatique","Essence","11 000 000 F CFA","Ref.: 136802","Parcelles Assainies","Thiam Teranga"
"1720699275-267","https://dakar-auto.com/senegal/voitures-4?&page=87","5","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/ford/focus/annonce-136799","Ford Focus 2015 Dakar","Année: 2015","85000 km","Automatique","Essence","4 200 000 F CFA","Ref.: 136799","Mermoz Sacré-Coeur","Yoursan .."
"1720699278-268","https://dakar-auto.com/senegal/voitures-4?&page=87","6","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/hyundai/elantra/annonce-136798","Hyundai Elantra 2015 Dakar","Année: 2015","141842 km","Automatique","Essence","5 800 000 F CFA","Ref.: 136798","Dieuppeul Derklé","KINGCARS Service"
"1720699280-269","https://dakar-auto.com/senegal/voitures-4?&page=87","3","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/peugeot/5008/annonce-136797","Peugeot 5008 2011 Dakar","Année: 2011","64000 km","Automatique","Essence","4 700 000 F CFA","Ref.: 136797","Almadies","Alcine ."
"1720699283-270","https://dakar-auto.com/senegal/voitures-4?&page=87","7","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/renault/koleos/annonce-136793","Renault Koleos 2010 Dakar","Année: 2010","1 km","Manuelle","Diesel","2 600 000 F CFA","Ref.: 136793","Plateau","Abib Dia"
"1720699286-271","https://dakar-auto.com/senegal/voitures-4?&page=87","7","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/hyundai/tucson/annonce-136795","Hyundai Tucson 2007 Dakar","Année: 2007","128 km","Manuelle","Essence","2 300 000 F CFA","Ref.: 136795","Plateau","Abib Dia"
"1720699289-272","https://dakar-auto.com/senegal/voitures-4?&page=87","9","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/hyundai/santa-fe/annonce-136796","Hyundai Santa Fe 2007 Dakar","Année: 2007","125 km","Manuelle","Diesel","2 800 000 F CFA","Ref.: 136796","Plateau","Abib Dia"
"1720699292-273","https://dakar-auto.com/senegal/voitures-4?&page=87","7","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/dacia/logan/annonce-136794","Dacia Logan 2008 Dakar","Année: 2008","1 km","Manuelle","Essence","1 700 000 F CFA","Ref.: 136794","Plateau","Abib Dia"
"1720699295-274","https://dakar-auto.com/senegal/voitures-4?&page=87","4","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/kia/sorento/annonce-136768","Kia Sorento 2014 Dakar","Année: 2014","106000 km","Automatique","Essence","5 500 000 F CFA","Ref.: 136768","Mermoz Sacré-Coeur","Auto Business"
"1720699298-275","https://dakar-auto.com/senegal/voitures-4?&page=87","7","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/ford/focus/annonce-136807","Ford Focus 2013 Dakar","Année: 2013","115000 km","Automatique","Essence","4 200 000 F CFA","Ref.: 136807","Keur Massar","El Hadji Moussa DIOUF"
"1720699301-276","https://dakar-auto.com/senegal/voitures-4?&page=87","9","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/mitsubishi/pajero/annonce-136826","Mitsubishi Pajero 2013 Dakar","Année: 2013","1 km","Automatique","Essence","10 700 000 F CFA","Ref.: 136826","Mermoz Sacré-Coeur","Docteur mame Balla mbacké"
"1720699304-277","https://dakar-auto.com/senegal/voitures-4?&page=87","7","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/acura/rdx/annonce-136825","Acura RDX 2013 Dakar","Année: 2013","85000 km","Automatique","Essence","9 000 000 F CFA","Ref.: 136825","Médina","OASIS AUTO CANADA"
"1720699307-278","https://dakar-auto.com/senegal/voitures-4?&page=87","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/toyota/rav-4/annonce-136824","Toyota Rav 4 2014 Dakar","Année: 2014","98500 km","Automatique","Essence","12 200 000 F CFA","Ref.: 136824","Médina","OASIS AUTO CANADA"
"1720699310-279","https://dakar-auto.com/senegal/voitures-4?&page=87","9","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/toyota/land-cruiser/annonce-136821","Toyota Land Cruiser 2013 Dakar","Année: 2013","72000 km","Automatique","Diesel","36 000 000 F CFA","Ref.: 136821","Almadies","Vendeur Toyota"
"1720699313-280","https://dakar-auto.com/senegal/voitures-4?&page=87","6","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/toyota/land-cruiser/annonce-136822","Toyota Land Cruiser 2014 Dakar","Année: 2014","9 km","Automatique","Essence","33 500 000 F CFA","Ref.: 136822","Almadies","Djibril"
"1720699319-281","https://dakar-auto.com/senegal/voitures-4?&page=86","6","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/peugeot/508/annonce-136823","Peugeot 508 2013 Dakar","Année: 2013","98000 km","Manuelle","Diesel","4 900 000 F CFA","Ref.: 136823","Hlm","Tonton Teuw"
